Quels sont les quatre principes fondamentaux sur lesquels repose l'accessibilité numérique selon le RGAA ?;Simple Rapide Efficace Beau;Perceptible Utilisable Compréhensible Robuste;Visible Audible Lisible Navigable;Ergonomique Esthétique Fonctionnel Rapide;3;L'accessibilité numérique repose sur quatre principes issus des WCAG : rendre les contenus perceptibles, utilisables, compréhensibles et robustes.
À partir de quel seuil de chiffre d'affaires annuel les entreprises sont-elles soumises à l'obligation d'accessibilité ?;50 millions d'euros;100 millions d'euros;250 millions d'euros;500 millions d'euros;4;Les entreprises sont concernées à compter d'un seuil de chiffre d'affaires de 250 millions d'euros réalisé en France.
Quel niveau de conformité aux règles WCAG 2.1 est requis par le RGAA 4.1.2 ?;Niveau A et AA;Niveau A seulement;Niveau AAA;Niveau A, AA et AAA;2;Les contenus et services web doivent satisfaire aux critères de succès des niveaux simple A (A) et double A (AA) des WCAG 2.1.
Comment est défini le taux de conformité partielle dans la déclaration d'accessibilité ?;Entre 20% et 40% des critères respectés;Au moins 50% des critères de contrôle respectés;Moins de 50% des critères respectés;100% des critères respectés sauf les vidéos;3;La conformité est partielle si au moins 50 % des critères de contrôle du RGAA sont respectés.
Quelle est la taille recommandée pour l'échantillon aléatoire lors d'un audit ?;5 pages;Au moins 10% des pages de l'échantillon structuré;20% du site total;Toutes les pages du site;3;L'audit doit inclure des pages sélectionnées au hasard représentant au moins 10 % des pages de l'échantillon structuré.
Pour une image porteuse d'information quelle est la règle concernant l'alternative textuelle ?;Elle doit décrire l'aspect visuel en détail;Elle doit être vide (alt="");Elle doit avoir une alternative textuelle pertinente;Elle doit commencer par "Image de";4;Chaque image porteuse d'information doit avoir une alternative textuelle pertinente qui permet de comprendre le contenu qu'elle véhicule.
Comment doit être traitée une image de décoration ?;Avec une description détaillée;Avec un attribut alt vide (alt="") ou aria-hidden="true";Avec un titre explicite;Elle doit être supprimée;3;Une image de décoration doit être ignorée par les technologies d'assistance soit via un attribut alt vide soit via aria-hidden="true".
Quel rapport de contraste minimum est exigé pour un texte standard (taille inférieure à 24px) ?;3:1;4.5:1;7:1;2:1;3;Le rapport de contraste entre le texte et son arrière-plan doit être de 4.5:1 au moins pour le texte standard.
Dans quel cas le rapport de contraste de 3:1 est-il suffisant pour du texte ?;Si le texte est en italique;Si le texte est en gris;Si le texte est grand (>=24px) ou gras et assez grand (>=18.5px);Si le texte est dans le pied de page;4;Pour le texte de grande taille (>=24px) ou le texte en gras d'au moins 18,5px, le seuil de contraste est abaissé à 3:1.
L'information peut-elle être donnée uniquement par la couleur ?;Oui si les couleurs sont jolies;Non jamais;Oui pour les liens uniquement;Oui si le contraste est bon;3;L'information ne doit pas être donnée uniquement par la couleur, elle doit être complétée par une autre forme visible (texte, icône, soulignement).
Que doit posséder une vidéo pré-enregistrée comportant des informations sonores et visuelles ?;Uniquement des sous-titres;Uniquement une audiodescription;Des sous-titres et si nécessaire une audiodescription;Un titre pertinent;4;Un média temporel synchronisé nécessite des sous-titres et, si les informations visuelles ne sont pas dans la bande son, une audiodescription.
Quelle est la durée maximale d'un son déclenché automatiquement sans mécanisme de contrôle ?;1 seconde;3 secondes;5 secondes;10 secondes;3;Un son déclenché automatiquement doit durer 3 secondes ou moins, sinon l'utilisateur doit pouvoir l'arrêter ou contrôler son volume.
Quelle balise est recommandée pour associer une légende à un tableau de données ?;legend;label;caption;summary;4;Le titre du tableau doit être correctement associé, et la balise <caption> est la méthode privilégiée et la mieux supportée.
Dans un tableau de données complexe quel élément est requis pour faciliter la compréhension ?;Un résumé;Une image d'illustration;Une couleur de fond différente;Une bordure épaisse;2;Chaque tableau de données complexe doit avoir un résumé expliquant sa nature et sa structure.
Quelle est la contrainte principale concernant les intitulés de liens ?;Ils doivent être en bleu;Ils doivent faire moins de 3 mots;Ils doivent être explicites (seuls ou via le contexte);Ils doivent toujours commencer par un verbe;4;Chaque lien doit être explicite, c'est-à-dire que son intitulé (seul ou avec son contexte) permet de comprendre sa fonction et sa destination.
Comment doivent être structurés les formulaires pour regrouper les champs de même nature ?;Avec des balises div;Avec fieldset et legend;Avec des sauts de ligne;Avec des tableaux;3;Les champs de même nature doivent être regroupés, si nécessaire, avec une balise <fieldset> et une légende <legend>.
Quel attribut permet de faciliter le remplissage automatique des champs de données personnelles ?;autofill;placeholder;autocomplete;name;4;L'attribut autocomplete avec une valeur pertinente permet de déduire la finalité du champ pour le remplissage automatique.
Que doit-on prévoir pour une session ayant une limite de temps ?;La session doit se fermer immédiatement;L'utilisateur doit pouvoir supprimer augmenter ou régler la limite;Un compte à rebours visuel est obligatoire;Aucune action n'est requise;3;L'utilisateur doit pouvoir arrêter, relancer ou augmenter la limite de temps, sauf cas particuliers.
Quelle est la fréquence maximale autorisée pour les clignotements (flashs) ?;1 par seconde;3 par seconde;5 par seconde;10 par seconde;3;Les effets de flash ne doivent pas dépasser une fréquence de 3 par seconde pour éviter les crises d'épilepsie.
Quel rôle ARIA est utilisé pour définir la zone de contenu principal d'une page ?;role="content";role="body";role="main";role="center";4;La zone de contenu principal doit être structurée via une balise <main> ou posséder un attribut WAI-ARIA role="main".
Quelle condition s'applique au code source généré des pages web ?;Il doit être indenté;Il doit être valide selon le type de document spécifié;Il ne doit pas contenir de commentaires;Il doit être écrit en HTML5 obligatoirement;3;Le code source doit être valide : respect des règles d'écriture, imbrication conforme, id uniques, pas d'attributs doublés.
Comment doit être indiquée la langue par défaut d'une page ?;Via l'attribut lang sur la balise html;Via une balise meta language;Dans le titre de la page;C'est automatique;2;L'attribut lang doit être présent sur l'élément html pour indiquer la langue par défaut de la page.
Quel est le critère concernant la redistribution du contenu (reflow) sur petit écran ?;Le scroll horizontal est autorisé;Le contenu doit s'adapter sans perte d'info ni défilement horizontal à 320px de large;Le site doit avoir une application mobile;Le texte doit diminuer de taille;3;Le contenu doit être présenté sans perte d'information et sans défilement horizontal pour une fenêtre d'une largeur de 320 px.
Quelle touche doit permettre d'atteindre tous les éléments interactifs de la page ?;Entrée;Espace;Tabulation;Échap;4;L'ordre de tabulation doit être cohérent et permettre d'atteindre tous les éléments recevant le focus.
Que doivent posséder les cadres (iframe) pour être accessibles ?;Un attribut name;Un attribut title pertinent;Une bordure visible;Une hauteur fixe;3;Chaque cadre doit avoir un titre de cadre (attribut title) pertinent pour en comprendre le contenu.
Comment un utilisateur doit-il pouvoir éviter les groupes de liens répétés (zones d'en-tête, navigation) ?;En utilisant la souris;Grâce à un lien d'évitement ou d'accès rapide;En fermant les yeux;En désactivant le CSS;3;Un lien d'évitement ou d'accès rapide à la zone de contenu principal doit être présent pour contourner les blocs répétés.
Que signifie l'acronyme RGAA ?;Règles Générales d'Accessibilité pour les Applications;Référentiel Général d'Amélioration de l'Accessibilité;Répertoire Général des Aides et Adaptations;Règlement Global pour l'Accès Autonome;3;RGAA signifie Référentiel général d'amélioration de l'accessibilité.
Quelle est la règle concernant les messages d'erreur dans un formulaire ?;Ils doivent être rouges;Ils doivent être reliés au champ et explicites;Ils doivent apparaître dans une pop-up;Ils sont facultatifs;3;Les messages d'erreur doivent identifier le champ concerné et fournir une suggestion de correction si possible.
Les scripts doivent-ils être compatibles avec les technologies d'assistance ?;Non le JS n'est pas accessible;Oui via l'utilisation d'API d'accessibilité (nom rôle valeur);Uniquement s'ils sont complexes;Seulement sur mobile;3;Chaque script doit être compatible avec les technologies d'assistance en exposant son nom, rôle, valeur et états.
Comment doit se comporter le focus clavier ?;Il doit être invisible pour l'esthétique;Il doit être visible sur chaque élément recevant le focus;Il doit clignoter;Il doit être jaune;3;La prise de focus doit être visible pour chaque élément recevant le focus.
Quelle est la règle pour les contenus cachés via CSS (display:none) ?;Ils doivent être ignorés par les lecteurs d'écran;Ils doivent être lus par les lecteurs d'écran;Ils doivent apparaître au survol;Ils sont interdits;2;Le contenu caché visuellement doit avoir vocation à être ignoré par les technologies d'assistance.
Qu'est-ce qu'une image texte ?;Une image contenant du texte;Une image avec une légende;Un fichier texte;Un logo vectoriel;2;Une image texte est une image affichant du texte, elle doit être évitée sauf cas particuliers comme les logos.
Dans un formulaire, quelle étiquette est prioritaire pour le calcul du nom accessible ?;L'attribut title;La balise label;L'attribut aria-label;L'attribut aria-labelledby;5;L'ordre de calcul privilégie aria-labelledby, puis aria-label, puis label, et enfin title.
Combien de systèmes de navigation différents doit proposer un site (sauf cas particulier) ?;Un seul suffit;Au moins deux;Au moins trois;Aucun;3;Chaque ensemble de pages doit disposer d'au moins deux systèmes de navigation différents (ex: menu et plan du site).
Quelle balise HTML est requise pour structurer une liste non ordonnée ?;ol;dl;ul;list;4;La balise <ul> est utilisée pour les listes non ordonnées.
