Quelle loi française a prévu la création du référentiel général de l'écoconception des services numériques (RGESN) ?,L'article 25 de la loi n° 2021-1485 du 15 novembre 2021 visant à réduire l’empreinte environnementale du numérique en France.
Quelles sont les trois principales autorités publiques qui ont élaboré le RGESN ?,"L'Arcep (Autorité de régulation des communications électroniques), l'Arcom (Autorité de régulation de la communication audiovisuelle et numérique) et l'ADEME (Agence de l'environnement et de la maîtrise de l'énergie)."
Quel est le statut juridique du RGESN ?,"C'est un document non contraignant, servant de socle commun de bonnes pratiques."
"Selon l'étude ADEME-Arcep, quelle part de l'empreinte carbone en France le numérique représente-t-il ?","Le numérique représente 2,5 % de l'empreinte carbone en France."
Quelle composante du numérique est responsable de la majeure partie de son empreinte environnementale ?,La fabrication des terminaux.
"Selon le RGESN, l'écoconception des services numériques est un levier pour allonger la _____ des terminaux.",durée de vie
Citez un critère du RGESN visant à limiter les stratégies de captation de l'attention.,"Restreindre les fonctionnalités comme le défilement infini, le déclenchement automatique des vidéos ou les notifications intempestives."
Quel est l'un des quatre objectifs principaux du RGESN ?,Concevoir des services numériques plus durables pour allonger la durée de vie des terminaux.
Quel est le deuxième objectif principal du RGESN ?,Promouvoir une démarche de sobriété environnementale face aux stratégies de captation de l’attention.
Quel est le troisième objectif principal du RGESN ?,Diminuer les ressources mobilisées sur le cycle de vie du service numérique.
Quel est le quatrième objectif principal du RGESN ?,Accroître le niveau de transparence sur l’empreinte environnementale du service numérique.
Combien de critères le RGESN propose-t-il au total ?,Le référentiel propose 78 critères sous forme de questions.
Quels sont les trois niveaux de priorisation des critères dans le RGESN ?,"Prioritaire, Recommandé et Modéré."
Quelle est la pondération d'un critère de niveau 'Prioritaire' dans le calcul du score d'avancement ?,"1,5."
Quelle est la pondération d'un critère de niveau 'Recommandé' dans le calcul du score d'avancement ?,"1,25."
Quelle est la pondération d'un critère de niveau 'Modéré' dans le calcul du score d'avancement ?,"1,0."
Qu'est-ce que la 'déclaration d'écoconception' ?,"Un document public, prérequis pour se prévaloir de l'application du RGESN, qui garantit la transparence sur les efforts d'écoconception du service."
Le 'score d'avancement' du RGESN mesure l'impact environnemental direct d'un service. Vrai ou faux ?,"Faux, ce n'est pas un score de calcul d'impact environnemental, mais un indicateur de suivi de la mise en œuvre du référentiel."
Comment est calculé le score d'avancement du RGESN ?,"C'est le ratio de la somme des points des critères validés (avec pondération) sur le total des points des critères applicables (avec pondération), multiplié par 100."
Combien y a-t-il de critères classés comme 'Prioritaire' dans le RGESN ?,Il y a 30 critères 'Prioritaire' sur 78.
Quel est un exemple de critère 'Prioritaire' dans la thématique 'Stratégie' ?,Évaluer favorablement l'utilité du service en tenant compte de ses impacts environnementaux (critère 1.1).
Le RGESN recommande d'utiliser des technologies standard interopérables plutôt que des technologies _____ et _____.,"spécifiques, fermées"
Quel critère 'Prioritaire' vise à rendre un service numérique utilisable sur du matériel plus ancien ?,"Le critère 2.2, qui demande si le service est utilisable sur d'anciens modèles de terminaux."
"Pour les applications natives, quel est l'âge minimum des terminaux sur lesquels le service doit rester utilisable (critère 2.2) ?",Le service doit être utilisable sur les équipements mis sur le marché il y a sept ans ou plus.
"Pour un service web, quel est l'âge minimum du microprocesseur des terminaux sur lesquels il doit rester utilisable (critère 2.2) ?",Le service doit fonctionner sur des équipements dotés d'un microprocesseur mis sur le marché il y a dix ans ou plus.
Quel critère 'Prioritaire' d'UX/UI concerne le défilement infini ?,"Le critère 4.2, qui demande si le service affiche uniquement des contenus sans défilement infini."
"Quel mode un service vidéo devrait-il proposer pour réduire son impact, selon le critère 'Prioritaire' 5.5 ?",Un mode « écoute seule ».
"Pour un service utilisant la blockchain, quel type de mécanisme de consensus est préconisé par le critère 'Prioritaire' 7.4 ?","Un mécanisme qui minimise sa consommation de ressources, en évitant le minage."
Terme : PUE (Power Usage Effectiveness),"Un indicateur d'efficacité énergétique des centres de données, ratio entre l'énergie totale consommée et celle utilisée par les équipements informatiques."
Quel est le PUE maximum recommandé pour un hébergement afin de valider le critère 8.3 du RGESN ?,"Un PUE inférieur à 1,5 en réel."
Quel critère 'Prioritaire' concerne la nécessité d'une phase d'entraînement pour les services d'IA ?,"Le critère 9.1, qui demande si la nécessité d'une phase d'entraînement a été interrogée pour éviter un usage non justifié."
Combien de critères sont classés comme 'Recommandé' dans le RGESN ?,Il y a 28 critères 'Recommandé' sur 78.
Quel critère 'Recommandé' suggère qu'un service numérique doit être utilisable avec une connexion bas débit ?,Le critère 2.3 : 'Le service numérique est-il utilisable via une connexion bas débit ou hors connexion ?'
Terme : Dark Patterns,"Des procédés manipulatoires dans une interface utilisateur, à éviter selon le critère 4.14."
Quel format de fichier est recommandé pour les images afin d'optimiser le poids (critère 5.1) ?,"Des formats efficaces comme WebP, AVIF ou JPEG XL plutôt que JPEG ou PNG."
