"Qui a rédigé le Guide d'usage de l'IA pour les agents publics de l'État ?","La DINUM, en lien avec la DITP et la DGAFP, à partir des travaux déjà conduits dans plusieurs administrations."
"Ce guide a-t-il une portée réglementaire ?","Non, il constitue un document de référence interministériel destiné à harmoniser les pratiques, sans portée réglementaire en tant que tel."
"Que se passe-t-il quand une charte ministérielle sur l'IA existe déjà ?","Elle s'applique en priorité et vient préciser ou compléter les principes généraux du guide, qui reste le cadre par défaut en son absence."
"Comment le guide définit-il l'IA générative (IAG) ?","Des outils capables de produire du contenu original, texte, image, son ou code, à partir d'une simple instruction en langage naturel."
"Sur quel principe technique fonctionne l'IA générative ?","L'apprentissage statistique : elle a analysé des millions de documents et prédit ce qui devrait suivre dans une phrase, un paragraphe ou une image."
"Qu'est-ce qu'une hallucination de l'IA ?","Un contenu qui paraît vrai mais qui est factuellement faux, comme un texte de loi inventé ou une référence bibliographique fictive."
"Citez trois limites de l'IA générative mentionnées par le guide.","Elle peut halluciner, reproduire des biais, être détournée par injection d'instructions cachées, et ses connaissances sont figées à une date donnée."
"Quelles sont les quatre conditions d'un usage réussi de l'IA selon le guide ?","Maîtriser déjà la tâche, être porté par des agents experts du métier, ne pas devenir un réflexe automatique, et vérifier les sources quand elles sont disponibles."
"Quels sont les deux grands types d'outils d'IA présentés dans le guide ?","Les assistants conversationnels, polyvalents, et les outils spécialisés comme l'OCR, le speech-to-text, la traduction ou la génération d'images."
"Quelles sont les trois catégories d'outils d'IA du plus sécurisé au moins sécurisé ?","Les outils des administrations publiques, les outils commerciaux payants mis à disposition par l'administration, et les outils commerciaux gratuits."
"Citez les trois outils interministériels d'IA mis à disposition des agents.","L'Assistant IA interministériel (assistant.numerique.gouv.fr), Assistant Transcripts (transcripts.numerique.gouv.fr) et Visio (visio.numerique.gouv.fr)."
"Même avec une licence payante d'un outil commercial, que faut-il toujours vérifier ?","Auprès de la DSI ou de son responsable, les types de données autorisées et la maîtrise juridique et opérationnelle de l'hébergement (Cloud Act, SecNumCloud)."
"Quel réflexe adopter avant d'utiliser un outil commercial gratuit ?","Se demander : est-ce que je pourrais publier ces informations sur un site Internet accessible à tous ? Si non, ne pas utiliser l'outil."
"Vers qui se tourner en cas de doute sur la sensibilité d'une donnée ou le choix d'un outil d'IA ?","Sa hiérarchie, son service informatique (DSI/DNUM), son référent cybersécurité, ou son délégué à la protection des données (DPD)."
"Quels sont les cinq principes fondamentaux du guide ?","L'agent reste responsable ; choisir le bon outil selon les données ; être transparent ; adopter un usage éthique et sobre ; développer ses compétences."
"Selon le principe 1, qui reste responsable d'un contenu produit par l'IA ?","L'agent public qui le publie ou le transmet, même si l'IA en est à l'origine ; cette responsabilité peut engager sa responsabilité en cas d'erreur."
"Que ne faut-il jamais faire avec l'IA selon le principe 1 ?","Configurer l'IA pour qu'elle envoie automatiquement des courriels sans supervision, lui donner accès à des systèmes critiques, ou publier sans relecture."
"Quelles sont les deux conditions cumulatives pour recourir à un outil commercial (principe 2) ?","L'administration l'autorise explicitement, et les informations traitées pourraient être publiées librement sur Internet."
"Quels textes juridiques encadrent l'usage de l'IA selon le principe 2 ?","Le RGPD (protection des données personnelles), le RIA (règlement européen sur l'IA, usages à risque) et le secret professionnel."
"Le tri de candidatures par IA relève de quelle catégorie au sens du RIA ?","Un usage à haut risque (annexe III du RIA), faisant l'objet d'obligations renforcées ; en l'absence de cadre validé, il faut s'abstenir."
"Quand la transparence sur l'usage de l'IA est-elle obligatoire (principe 3) ?","Quand l'IA joue un rôle substantiel dans la production d'un contenu, une analyse ou une décision ; une simple reformulation n'appelle aucune mention."
"Quelle formule est recommandée pour un document externe partiellement généré par IA ?","Contenu partiellement généré par une IA et vérifié par un agent."
"Que faut-il documenter si l'IA a aidé à une décision administrative importante ?","L'outil utilisé, le résultat proposé par l'IA, la décision retenue, et les critères et motivations utilisés."
"Quel est l'impact environnemental comparatif d'une image générée par IA (principe 4) ?","Elle consomme environ soixante fois plus qu'une requête texte simple, qui équivaut elle-même à une à dix recherches Google."
"Quelle demande d'image pose un risque de violation du droit d'auteur ?","Demander une image dans le style d'un studio ou d'un artiste précis, car le style et la marque sont protégés."
"Citez trois types de biais que l'IA peut reproduire.","Les stéréotypes de genre, les biais culturels (perspective occidentale ou urbaine) et les biais socio-économiques."
"Comment se prémunir des biais de l'IA selon le guide ?","Garder un œil critique, vérifier l'équité de traitement des catégories de personnes, corriger si nécessaire, tester la question sous différents angles."
"Selon le principe 5, l'IA peut-elle remplacer l'expertise métier de l'agent ?","Non, elle fonctionne par probabilités et non par compréhension réelle : elle reste un assistant, jamais un substitut au jugement professionnel."
"Quelles ressources de formation à l'IA sont citées pour les agents publics ?","Le Campus du numérique public, la plateforme Mentor (Objectif IA, kit atelier prompting), les formations ministérielles et les communautés de pratique."
"Quels sont les quatre éléments d'un bon prompt selon la fiche pratique en annexe ?","Un contexte, un document de référence si nécessaire, une consigne précise, et le format attendu."
"Que peut-on demander à l'IA face à un besoin complexe, selon la dernière règle d'or du prompt ?","De poser des questions pour clarifier le besoin avant de commencer, afin d'affiner la demande initiale."
"Combien de familles de métiers sont illustrées par des cas d'usage en annexe du guide ?","Sept : ressources humaines, gestion de projets et réunions, communication, développement, juridique, finances, management."
"Que doit faire un agent utilisant Transcripts en début de réunion ?","Informer les participants que la réunion est enregistrée à des fins de transcription."
"Pour quel type de réunion Transcripts est-il interdit ?","Les réunions portant sur des données classifiées ou à diffusion restreinte."
"Quelle est la règle pratique simple à retenir en cas de doute sur une donnée ?","Utiliser l'outil de son administration, ou s'abstenir."
