Quel est l'objectif principal du Règlement (UE) 2024/2847 ?;Réguler les réseaux sociaux;Établir des exigences de cybersécurité pour les produits comportant des éléments numériques;Interdire l'importation de produits technologiques;Créer une cryptomonnaie européenne;3;Ce règlement vise à garantir un niveau élevé de cybersécurité pour les produits connectés mis sur le marché de l'Union.
Quels produits sont exclus du champ d'application de ce règlement car déjà régis par d'autres textes ?;Les jouets connectés;Les dispositifs médicaux et les véhicules à moteur;Les systèmes d'exploitation;Les pare-feux industriels;3;Les dispositifs médicaux et les véhicules à moteur sont exclus car ils sont déjà couverts par des réglementations sectorielles spécifiques.
Comment est définie une "vulnérabilité exploitable" dans le règlement ?;Une panne matérielle due à l'usure;Une erreur de traduction dans le manuel;Une faiblesse susceptible d'être utilisée efficacement par un adversaire;Une absence de connexion internet;4;Une vulnérabilité exploitable est une faille de sécurité qui peut être utilisée par un acteur malveillant en conditions réelles.
Quelle est la durée minimale par défaut de la période d'assistance prévue par le règlement ?;1 an;2 ans;5 ans;10 ans;4;La période d'assistance doit être d'au moins cinq ans, sauf si la durée de vie prévue du produit est inférieure.
Quel document le fabricant doit-il établir pour recenser les composants du produit ?;Le RGPD;La nomenclature des logiciels (SBOM);Le certificat ISO 9001;Le bilan carbone;3;Le fabricant doit identifier les composants via une nomenclature des logiciels (Software Bill of Materials ou SBOM).
Dans quel délai un fabricant doit-il envoyer une alerte précoce en cas de vulnérabilité activement exploitée ?;24 heures;72 heures;1 semaine;1 mois;2;Le fabricant doit soumettre une alerte précoce à l'ENISA et au CSIRT coordinateur dans les 24 heures suivant la prise de connaissance.
À combien peut s'élever l'amende administrative maximale pour non-respect des exigences essentielles de cybersécurité ?;1 million d'euros;5 millions d'euros;10 millions d'euros;15 millions d'euros ou 2,5 % du chiffre d'affaires mondial;5;Les sanctions peuvent atteindre 15 millions d'euros ou 2,5 % du chiffre d'affaires annuel mondial pour les infractions les plus graves.
Quand le règlement deviendra-t-il applicable dans sa totalité (date générale d'application) ?;11 décembre 2024;11 septembre 2026;11 décembre 2027;11 juin 2028;4;Le règlement est applicable 36 mois après son entrée en vigueur, soit le 11 décembre 2027.
Quelle obligation s'applique aux mises à jour de sécurité fournies par le fabricant ?;Elles doivent être payantes;Elles doivent être fournies gratuitement;Elles sont facultatives;Elles doivent inclure de nouvelles fonctionnalités;3;Le fabricant doit fournir des mises à jour de sécurité gratuitement aux utilisateurs pendant la période d'assistance.
Quel type de produits trouve-t-on dans l'Annexe III du règlement ?;Les produits importants (Classe I et II);Les produits critiques;Les produits exclus;Les produits militaires;2;L'Annexe III liste les produits importants répartis en deux classes selon leur niveau de risque.
