Quel est l'objectif principal de la directive (UE) 2022/2555 (NIS 2) ?;Établir une monnaie numérique unique;Obtenir un niveau commun élevé de cybersécurité dans l'Union;Créer une armée européenne de défense;Réguler uniquement les banques centrales;3;La directive établit des mesures pour assurer un niveau élevé commun de cybersécurité dans l'ensemble de l'Union afin d'améliorer le fonctionnement du marché intérieur.
Quelles catégories d'entités sont distinguées par la directive NIS 2 ?;Les entités publiques et les entités privées;Les entités critiques et les entités non critiques;Les entités essentielles et les entités importantes;Les entités nationales et les entités internationales;4;La directive classe les entités relevant de son champ d'application en deux catégories distinctes : les entités essentielles et les entités importantes.
Quelle est la taille minimale générale des entreprises concernées par la directive NIS 2 ?;Les microentreprises uniquement;Les petites entreprises;Les moyennes et grandes entreprises;Toutes les entreprises sans exception;4;La directive s'applique généralement aux entités qualifiées de moyennes ou grandes entreprises, bien que certaines entités critiques soient concernées quelle que soit leur taille.
Quel est le délai maximal pour soumettre une alerte précoce à la suite d'un incident important ?;12 heures;24 heures;48 heures;72 heures;3;Une alerte précoce doit être soumise au CSIRT ou à l'autorité compétente sans retard injustifié et en tout état de cause dans les 24 heures.
Quel organe est responsable de la gestion coordonnée des incidents de cybersécurité majeurs au niveau opérationnel de l'UE ?;Le Parlement européen;L'ENISA seule;EU-CyCLONe;La Cour de justice de l'UE;4;Le réseau européen pour la préparation et la gestion des crises cyber (EU-CyCLONe) contribue à la gestion coordonnée des incidents majeurs au niveau opérationnel.
Quel est le montant maximal de l'amende administrative pour une entité essentielle en cas de violation ?;20 millions EUR ou 4 % du CA mondial;10 millions EUR ou 2 % du CA mondial;7 millions EUR ou 1,4 % du CA mondial;500 000 EUR forfaitaires;3;Pour les entités essentielles, l'amende peut atteindre au moins 10 000 000 EUR ou 2 % du chiffre d'affaires mondial total, le montant le plus élevé étant retenu.
Qui porte la responsabilité d'approuver les mesures de gestion des risques de cybersécurité dans une entité ?;Le responsable informatique (DSI);Le fournisseur de services cloud;Les organes de direction;L'autorité nationale compétente;4;Les organes de direction des entités essentielles et importantes doivent approuver les mesures de gestion des risques et superviser leur mise en œuvre.
Dans quel délai une notification détaillée d'incident doit-elle être fournie après la connaissance de l'incident ?;24 heures;48 heures;72 heures;Une semaine;4;Une notification d'incident incluant une évaluation initiale de la gravité et de l'impact doit être soumise dans les 72 heures.
Quel secteur figure dans l'Annexe I correspondant aux secteurs hautement critiques ?;Fabrication de meubles;Services postaux;Espace;Gestion des déchets;4;Le secteur Espace est classé comme hautement critique dans l'Annexe I, contrairement aux services postaux ou à la gestion des déchets qui sont dans l'Annexe II.
Quel est le rôle principal d'un CSIRT selon la directive ?;Infliger des amendes aux entreprises;Surveiller les menaces et gérer les incidents;Rédiger les lois nationales;Certifier les produits logiciels;3;Les CSIRT sont chargés de surveiller et d'analyser les cybermenaces, les vulnérabilités et de gérer les incidents au niveau national.
Quelle approche de gestion des risques la directive impose-t-elle ?;Une approche basée uniquement sur le pare-feu;Une approche « tous risques »;Une approche financière uniquement;Une approche volontaire;3;Les mesures de gestion doivent être fondées sur une approche « tous risques » protégeant les réseaux et systèmes ainsi que leur environnement physique.
Quel est le délai de réponse imposé aux registres de noms de domaine pour donner accès aux données d'enregistrement ?;24 heures;48 heures;72 heures;1 semaine;4;Les registres doivent répondre aux demandes d'accès légitimes aux données d'enregistrement dans un délai de 72 heures.
Quel groupe est institué pour soutenir la coopération stratégique entre les États membres ?;Le Groupe de coopération;Le Conseil de sécurité;L'Alliance cyber;Le Comité des régions;2;Un groupe de coopération est institué pour soutenir et faciliter la coopération stratégique et l'échange d'informations.
Quelle entité tient à jour la base de données européenne des vulnérabilités ?;La Commission européenne;EU-CyCLONe;L'ENISA;Le réseau des CSIRT;4;L'ENISA élabore et tient à jour une base de données européenne des vulnérabilités permettant la divulgation et l'enregistrement volontaires.
Quelle est l'amende maximale prévue pour une entité importante ?;10 millions EUR ou 2 % du CA;7 millions EUR ou 1,4 % du CA;5 millions EUR ou 1 % du CA;Il n'y a pas d'amende pour les entités importantes;3;Pour les entités importantes, l'amende peut atteindre au moins 7 000 000 EUR ou 1,4 % du chiffre d'affaires mondial total.
Quand la directive NIS 1 (2016/1148) est-elle abrogée ?;Le 1er janvier 2023;Le 17 octobre 2024;Le 18 octobre 2024;Le 1er janvier 2025;4;La directive (UE) 2016/1148 est abrogée avec effet au 18 octobre 2024.
Quel type de supervision s'applique aux entités importantes ?;Supervision a priori (ex ante);Supervision ex post;Aucune supervision;Autosuccession uniquement;3;La supervision des entités importantes s'effectue principalement ex post, sur la base d'éléments de preuve ou d'indications de non-conformité.
Quel élément doit obligatoirement figurer dans la stratégie nationale de cybersécurité ?;La liste des mots de passe des ministres;Un plan pour la gestion de la chaîne d'approvisionnement;Un cadre de gouvernance et des objectifs stratégiques;L'interdiction des réseaux sociaux;4;La stratégie nationale doit comprendre un cadre de gouvernance, des objectifs stratégiques et des ressources pour atteindre un niveau élevé de cybersécurité.
Quel secteur relève de l'Annexe II (Autres secteurs critiques) ?;Énergie;Secteur bancaire;Fabrication de produits chimiques;Santé;4;La fabrication de produits chimiques est listée dans l'Annexe II, tandis que l'énergie, la banque et la santé sont des secteurs hautement critiques de l'Annexe I.
Quelle obligation incombe aux dirigeants concernant la cybersécurité ?;Savoir coder en Python;Suivre une formation en cybersécurité;Installer eux-mêmes les antivirus;Ne jamais utiliser d'ordinateur;3;Les membres des organes de direction sont tenus de suivre une formation pour acquérir les connaissances suffisantes en gestion des risques de cybersécurité.
