Qui est considéré comme le responsable de traitement pour une collectivité locale ?;Le prestataire de services externe;Son représentant légal;Le responsable du service informatique;Le délégué à la protection des données;3;Le maire ou le président d'un EPCI est le responsable de la conformité des traitements.
Quelle action est requise avant un traitement présentant un risque élevé pour les libertés ?;Une déclaration préalable à la CNIL;Une certification par un organisme tiers;Une homologation par l'ANSSI;Une analyse d'impact sur la vie privée;5;L'analyse d'impact est obligatoire pour les traitements à risque élevé comme la vidéosurveillance.
Quel est le délai maximal pour signaler une violation de données à la CNIL ?;7 jours;72 heures;24 heures;48 heures;3;La notification doit être faite dans les 72 heures si la violation présente un risque.
Quelle mesure de sécurité est citée comme élémentaire pour les flux réseau ?;L'utilisation de clés USB;Le blocage des adresses IP;La suppression des mots de passe;Le chiffrement via HTTPS;5;Le chiffrement des flux réseau à travers internet via HTTPS est une mesure essentielle.
Comment se décompose le cycle de vie des données personnelles ?;Enregistrement, stockage, communication;Utilisation, archivage intermédiaire, archivage définitif;Identification, sécurisation, archivage légal;Collecte, traitement, destruction immédiate;3;Le cycle comprend l'utilisation courante, l'archivage intermédiaire et l'archivage définitif.
Quelle fonction peut créer un conflit d'intérêts avec celle de DPO ?;Conseil en cybersécurité;Agent de la collectivité;Avocat externe;Directeur Général;5;Les fonctions de Directeur Général ou de Responsable Informatique sont susceptibles de conflit.
À partir de quel montant de recettes annuelles la mise à disposition de services de paiement en ligne est-elle obligatoire pour une collectivité ?;5 000 €;2 000 €;50 000 €;10 000 €;2;Seuil légal pour l'obligation de paiement en ligne
Quel référentiel régit l'ensemble des téléservices offerts par les collectivités locales ?;Le RGS;Le RGPD;Le Code de la santé publique;Le règlement eIDAS;2;Le Référentiel Général de Sécurité s'applique aux téléservices
Pour garantir la compatibilité européenne des signatures électroniques, quel règlement doit être respecté ?;eIDAS;Loi Informatique et Libertés;RGS;RGPD;2;eIDAS régit l'identification et la signature électronique
Quelle est la condition pour qu'un prestataire externe d'hébergement de données de santé soit conforme ?;Une convention de partenariat;Une assurance spécifique;Un agrément de la CNIL;Une certification préalable;5;L'hébergement de données de santé nécessite une certification
