Quel est l'objectif principal du dispositif d'accompagnement à l'IA en GRH publique décrit dans la fiche ?;Remplacer les managers par des algorithmes;Prévenir les risques liés à une utilisation mal maîtrisée de l'IA;Automatiser tous les recrutements sans supervision;Réduire drastiquement les effectifs de la fonction publique;3;L'objectif est d'anticiper les dispositifs pour informer, sensibiliser et former les agents afin d'éviter les dérives comme le Shadow IA ou les biais éthiques.
Quelle plateforme interministérielle est citée comme ressource pour les formations en ligne à l'IA ?;MENTOR;PARCOURSUP;FRANCE CONNECT;SERVICE PUBLIC;2;La plateforme MENTOR est mentionnée comme l'outil de référence pour accéder aux modules de formation en ligne disponibles pour les agents publics.
Qu'est-ce que le "Shadow IA" (IA de l'ombre) mentionné comme un point de vigilance ?;Une technique de cryptage des données RH;Un projet secret du ministère des Armées;L'utilisation non déclarée d'outils d'IA par les agents;Un mode sombre pour les écrans des agents;4;Le Shadow IA désigne l'utilisation d'outils d'IA (souvent génératifs) non approuvés par l'administration, créant des risques de sécurité et de fuite de données.
Quels sont les trois domaines à allier pour créer un référentiel de règles éthiques robuste ?;RH, Juridique et Numérique;Finance, Logistique et Communication;Marketing, Vente et Technique;Direction, Syndicats et Presse;2;Le référentiel doit croiser les enjeux des Ressources Humaines, la conformité Juridique (RGPD) et les aspects techniques du Numérique.
Outre les compétences techniques, quel type de compétences la formation à l'IA doit-elle développer ?;Les compétences sportives;Les soft skills (compétences douces);Les compétences linguistiques;Les compétences manuelles;3;La formation doit préparer à la transformation via des compétences socio-émotionnelles, cognitives et conatives comme la tolérance à l'ambiguïté.
Quelle méthode pédagogique collective est suggérée pour s'approprier les outils d'IA ?;Apprendre à coder en Python;Organiser des hackathons compétitifs;Apprendre à "prompter" ensemble;Lire le manuel utilisateur en silence;4;Des ateliers d'appropriation collective pour apprendre à prompter permettent de fournir des clés de compréhension sur le fonctionnement de l'outil.
Quelle structure du ministère de la Transition écologique assure le rôle d'administrateur ministériel des données ?;Le CGDD;Ecolab;Le CMVRH;La DINUM;3;Ecolab, le laboratoire de l'innovation rattaché au CGDD, diffuse la culture de la donnée et propose des webinaires et parcours PIX.
Quel risque guette l'agent qui utilise l'IA fréquemment et sans recul critique ?;La fatigue oculaire;S'endormir au volant;La fracture numérique;Le burn-out;3;L'expression "s'endormir au volant" illustre le risque de baisse de vigilance et d'esprit critique face aux réponses fournies par l'IA.
Quel triple pilotage est recommandé pour les actions d'accompagnement ?;RH, Formation et Numérique;Finance, Achat et Juridique;Communication, Presse et Cabinet;Logistique, Sécurité et Immobilier;2;Une collaboration étroite entre le service RH, le service de formation professionnelle et le service numérique est essentielle pour une approche cohérente.
Quel atelier spécifique le ministère des Armées déploie-t-il pour l'acculturation à l'IA ?;Guerre des étoiles;Bataille de l'IA;Stratégie Digitale;Cyberdéfense pour tous;3;L'atelier "Bataille de l'IA" fait partie des ressources d'acculturation mises à disposition par l'Académie du numérique des Armées.
