Quel est l'objectif principal de La Suite Numérique développée par la DINUM ?;Concurrencer les réseaux sociaux comme TikTok;Offrir une alternative souveraine aux suites bureautiques des GAFAM;Remplacer le système d'exploitation Windows;Créer une crypto-monnaie d'État;3;La Suite Numérique vise à renforcer l'autonomie numérique de l'État face aux solutions américaines comme Google Workspace ou Microsoft 365.
Quel système d'authentification unique permet aux agents d'accéder aux outils de La Suite Numérique ?;FranceConnect;ProConnect;AuthAgent;NumériPass;3;ProConnect est le système d'authentification unique dédié aux agents publics pour accéder aux outils professionnels de manière sécurisée.
Sur quel protocole open source est basée la messagerie instantanée Tchap ?;XMPP;Signal Protocol;Matrix;IRC;4;Tchap repose sur le protocole standard ouvert Matrix qui permet le chiffrement de bout en bout et la fédération.
Quel organisme allemand est le partenaire principal de la France pour le développement de ces outils ?;BSI;Fraunhofer;ZenDiS;SAP;4;Le ZenDiS (Centre pour la Souveraineté Digitale) est l'homologue allemand avec qui la DINUM collabore pour développer des communs numériques européens.
Quelle application de La Suite Numérique remplace les tableurs classiques comme Excel avec des fonctions de base de données ?;Calc;Grist;Numbers;Framacalc;3;Grist est un tableur collaboratif avancé qui permet de structurer des bases de données et propose des fonctionnalités No Code.
Quelle qualification de sécurité garantit l'hébergement souverain des données de La Suite Numérique ?;ISO 27001;SecNumCloud;HDS;RGS;3;L'hébergement des outils critiques comme Docs et Visio vise la qualification SecNumCloud délivrée par l'ANSSI.
Quel est le montant du financement alloué par le Fonds pour la transformation de l'action publique (FTAP) à ce projet ?;1 million d'euros;3 millions d'euros;8.5 millions d'euros;10 millions d'euros;3;Le FTAP a financé le projet à hauteur de 3 millions d'euros sur un budget total de projet de 8,5 millions d'euros.
Quelle technologie est utilisée pour le backend de l'outil d'édition collaborative Docs ?;Ruby on Rails;Node.js;Django Rest Framework;Laravel;4;L'outil Docs a été développé en utilisant Django Rest Framework pour la partie serveur (backend).
Quelle entreprise française d'intelligence artificielle est partenaire pour l'intégration de modèles dans La Suite ?;Hugging Face;LightOn;Mistral AI;Dust;4;La DINUM a travaillé avec Mistral AI pour intégrer des modèles d'intelligence artificielle performants et souverains dans les outils.
Que signifie l'acronyme IRN lancé en janvier 2026 ?;Indice de Rentabilité Numérique;Indice de Résilience Numérique;Indicateur de Réseau National;Indice de Risque Numérique;3;L'Indice de Résilience Numérique est un outil de pilotage permettant de mesurer et comprendre les dépendances technologiques des organisations.
Quelle application du portail éducatif remplace YouTube pour le partage de vidéos institutionnelles ?;Dailymotion;Vimeo;Portail Tubes;PeerTube;4;Le Portail Tubes (basé sur PeerTube) permet le streaming et le partage de vidéos éducatives sans dépendre des plateformes commerciales.
Quel est le statut de l'utilisation des outils de La Suite Numérique par une entreprise privée pour ses besoins internes ?;Recommandé;Interdit;Autorisé mais aux risques et périls de l'entreprise;Obligatoire pour les marchés publics;4;L'usage interne par le privé se fait sans garantie ni support car les outils sont conçus et financés pour la sphère publique.
Quelle économie indirecte est estimée sur 12 mois grâce à l'évitement de coûts de licences et projets redondants ?;10 millions d'euros;20 millions d'euros;50 millions d'euros;100 millions d'euros;4;Le projet estime pouvoir générer 50 millions d'euros d'économies indirectes en rationalisant les outils et en évitant les licences propriétaires.
Quelle technologie web permet à l'outil Visio de fonctionner sans installation logicielle ?;Flash;WebRTC;ActiveX;Java Applet;3;Visio repose sur la technologie standard WebRTC qui permet la communication en temps réel directement dans le navigateur.
Qui a critiqué La Suite Numérique en l'accusant de concurrence déloyale envers les éditeurs français ?;Le Medef;La CNIL;Le CNLL (Conseil National du Logiciel Libre);L'Arcep;4;Le CNLL et des éditeurs privés estiment que l'État ne devrait pas redévelopper des solutions qui existent déjà sur le marché français.
Quelle application permet le transfert sécurisé de fichiers volumineux non sensibles ?;WeTransfer;France Transfert;GrosFichiers;Smash;3;France Transfert est l'outil homologué pour l'envoi de fichiers lourds entre agents ou avec le public.
Quel pays a rejoint l'initiative franco-allemande pour la souveraineté numérique en 2025 ?;L'Espagne;L'Italie;Les Pays-Bas;La Belgique;4;Les Pays-Bas ont rejoint la démarche initiée par la France et l'Allemagne pour bâtir des communs numériques européens.
Quelle application permet aux enseignants de créer et partager des captures vidéo enrichies ?;Pod Educ;OBS Studio;Camrasia;Clipchamp;2;Pod Educ est l'outil dédié aux enseignants pour la création et la diffusion de contenus vidéo pédagogiques.
Quelle est la particularité de l'hébergement des données de La Suite Numérique ?;Hébergé par Amazon AWS;Hébergé sur le territoire français sous juridiction nationale;Hébergé en Irlande;Hébergé sur des serveurs Google Cloud;3;La souveraineté est garantie par un stockage et un traitement des données en France, soumis exclusivement au droit européen et français.
Quel outil de planification de réunion est proposé comme alternative à Doodle ou Framadate dans le secteur éducatif ?;Rendez-vous;Sondage;Evento;Planning;4;Evento est l'application utilisée par le personnel de l'éducation nationale pour planifier des événements et des réunions.
