Quelle est la part estimée du numérique dans l'empreinte carbone en France selon l'étude citée dans le RGESN ?;10 %;2,5 %;50 %;0,5 %;3;Selon l'étude ADEME-Arcep, le numérique représente 2,5 % de l'empreinte carbone en France, un chiffre qui pourrait augmenter significativement sans action de sobriété.
Quel élément constitue la majeure partie de l'empreinte environnementale du numérique (65 à 90 %) ?;Les terminaux (fabrication);Les centres de données;Les réseaux de télécommunication;Les logiciels;2;La fabrication des terminaux (smartphones, ordinateurs, écrans) pèse le plus lourd dans le bilan environnemental, d'où l'importance d'allonger leur durée de vie.
Quels sont les trois niveaux de priorisation des critères définis dans le référentiel ?;Obligatoire, Facultatif, Bonus;Rouge, Orange, Vert;Prioritaire, Recommandé, Modéré;Urgent, Important, Secondaire;4;Les 78 critères sont classés en Prioritaire, Recommandé et Modéré selon leur impact estimé, leur portée systémique et leur difficulté de mise en œuvre.
Quel est l'objectif principal de la déclaration d'écoconception mentionnée dans le référentiel ?;Obtenir une réduction d'impôt immédiate;Garantir la transparence sur les efforts et l'empreinte environnementale du service;Certifier que le service est zéro carbone;Interdire l'accès aux utilisateurs non écoresponsables;3;La déclaration d'écoconception vise à afficher publiquement les critères validés, le score d'avancement et les engagements de réduction d'impact.
Dans le calcul du score d'avancement, quel est le coefficient de pondération des critères "Prioritaires" ?;1;3;1,5;2;4;Pour encourager les actions les plus impactantes, les critères prioritaires ont un coefficient de 1,5, contre 1,25 pour les recommandés et 1 pour les modérés.
Quelle pratique est recommandée concernant la lecture automatique (autoplay) des vidéos et sons ?;Elle doit être désactivée par défaut;Elle doit être activée avec le son coupé;Elle doit être activée uniquement en Wi-Fi;Elle est obligatoire pour capter l'attention;2;Le référentiel préconise de désactiver la lecture automatique pour éviter le téléchargement de données non désirées et limiter la captation de l'attention.
Pour lutter contre l'obsolescence, sur quelle ancienneté de microprocesseur un service web devrait-il être utilisable ?;2 ans;5 ans;7 ans;10 ans ou plus;5;Pour les services web, le référentiel demande de garantir l'utilisabilité sur des terminaux dotés de microprocesseurs mis sur le marché il y a 10 ans ou plus.
Qu'est-ce qu'un "dark pattern" que le référentiel demande d'éviter ?;Un mode sombre pour économiser la batterie;Un procédé de design manipulatoire influençant l'utilisateur;Une ligne de code non documentée;Un fond d'écran noir;3;Les dark patterns sont des interfaces trompeuses qui poussent à la surconsommation ou empêchent l'utilisateur de maîtriser ses choix, ce qui est contraire à la sobriété numérique.
Quel indicateur d'efficience énergétique des centres de données est mis en avant dans le référentiel ?;Le ROI (Return On Investment);Le PUE (Power Usage Effectiveness);Le SEO (Search Engine Optimization);Le KPI (Key Performance Indicator);3;Le PUE mesure l'efficacité énergétique d'un centre de données, l'objectif étant de se rapprocher de 1 pour limiter le gaspillage d'énergie lié au refroidissement.
Quelle stratégie est recommandée pour les données "froides" (archives) ?;Les supprimer immédiatement;Les stocker sur les mêmes serveurs que les données actives;Les héberger de façon distincte sur un stockage adapté;Les imprimer sur papier;4;Le référentiel suggère de séparer l'hébergement des données froides (peu consultées) des données chaudes pour optimiser les ressources de stockage et l'énergie.
Concernant l'intelligence artificielle, quelle question doit-on se poser avant de lancer une phase d'entraînement ?;Combien de GPU puis-je acheter ?;Quelle est la méthode la plus complexe disponible ?;La phase d'entraînement est-elle vraiment nécessaire pour le besoin visé ?;Comment collecter le plus de données possible ?;4;Il faut interroger la nécessité de l'IA et de l'entraînement, car cette phase est très énergivore, et privilégier si possible des modèles pré-entraînés ou plus simples.
Quel format d'image est considéré comme performant et recommandé pour remplacer le JPEG ou PNG ?;BMP;TIFF;WebP ou AVIF;GIF;4;Les formats WebP et AVIF offrent des taux de compression bien plus efficaces que les anciens formats, réduisant ainsi le poids des pages et la consommation de bande passante.
Quel est l'intérêt environnemental de proposer un mode "audio seul" pour une vidéo ?;Il n'y a aucun intérêt;Cela permet de réduire le trafic réseau et la consommation d'énergie du terminal;Cela améliore la qualité du son;Cela oblige l'utilisateur à payer un abonnement;3;Permettre l'écoute seule (sans charger le flux vidéo) économise considérablement la bande passante et la batterie, notamment pour les usages type podcast ou musique.
En matière de mises à jour logicielles, quelle pratique permet de lutter contre l'obsolescence des terminaux ?;Rendre toutes les mises à jour obligatoires;Dissocier les mises à jour correctives (sécurité) des mises à jour évolutives (fonctionnalités);Arrêter de proposer des mises à jour après 1 an;Bloquer l'accès au service si la mise à jour n'est pas faite;3;Permettre d'installer uniquement les correctifs de sécurité sans les nouvelles fonctionnalités lourdes aide à maintenir les vieux appareils fonctionnels plus longtemps.
Quelle est la recommandation concernant la chaleur produite par les serveurs (chaleur fatale) ?;L'évacuer le plus vite possible avec des ventilateurs;La récupérer pour chauffer des bâtiments ou installations;L'ignorer car c'est négligeable;Refroidir les serveurs avec de l'azote liquide uniquement;3;Le référentiel valorise les hébergeurs qui réutilisent la chaleur dégagée par les serveurs (chaleur fatale) pour d'autres usages énergétiques.
Pourquoi privilégier les technologies standards et interopérables ?;Pour rendre le code plus complexe;Pour lutter contre l'obsolescence logicielle et favoriser la compatibilité multi-terminaux;Pour empêcher les concurrents de copier le service;Pour augmenter le poids des applications;3;L'interopérabilité permet au service de fonctionner sur un maximum d'appareils, y compris anciens ou alternatifs, prolongeant ainsi leur durée de vie.
Que signifie le sigle WUE recommandé pour le choix de l'hébergeur ?;Water Usage Effectiveness;Website User Experience;Wireless Upload Efficiency;World Usage Estimation;2;Le WUE mesure l'efficience de l'utilisation de l'eau pour le refroidissement des centres de données, un enjeu crucial face au stress hydrique.
Quelle pratique de développement Frontend permet de réduire les requêtes inutiles ?;Le chargement progressif (lazy loading) des ressources;Le téléchargement automatique de toutes les images du site;L'utilisation de vidéos en 4K par défaut;La suppression du cache navigateur;2;Le lazy loading permet de ne charger les images et composants que lorsque l'utilisateur les fait apparaître à l'écran, économisant ainsi des données.
Quel est l'impact de l'Open Source sur la durabilité des équipements IoT (Internet des Objets) ?;Il permet à la communauté de maintenir le logiciel après l'abandon par le fabricant;Il rend les objets plus fragiles;Il consomme plus de batterie;Il augmente le prix de vente;2;L'ouverture du code et des API permet de créer des pilotes alternatifs et de prolonger la vie des objets connectés même si le fabricant arrête le support.
Quelle est la recommandation pour les contenus vidéo en termes de compression ?;Utiliser un débit fixe maximal;Utiliser des codecs anciens pour la compatibilité;Utiliser un encodage à débit variable et des codecs efficaces (ex: AV1, VP9);Ne jamais compresser les vidéos pour garder la qualité;4;L'utilisation de codecs modernes (AV1, VP9, HEVC) et d'un débit variable permet de réduire drastiquement le poids des vidéos sans perte visible de qualité.
