"Donnée personnelle ?","Information se rapportant à une personne physique identifiée ou identifiable."
"Loi Informatique et Libertés ?","Loi n° 78-17 du 6 janvier 1978."
"RGPD ?","Règlement 2016/679 du 27 avril 2016."
"Obligation de désignation DPO ?","Désigner un délégué à la protection des données, quelle que soit la taille de la collectivité."
"Responsable de traitement ?","Le représentant légal (maire, président d'EPCI, directeur d'établissement)."
"Analyse d'impact (AIPD) ?","Étude obligatoire en amont pour les traitements à risque élevé (ex: biométrie, vidéosurveillance)."
"Délai de signalement violation CNIL ?","72 heures si la violation présente un risque pour les droits et libertés."
"Principe de minimisation ?","Ne collecter, utiliser et stocker que ce qui est strictement nécessaire."
"Trois phases du cycle de vie des données ?","Utilisation courante, archivage intermédiaire, archivage définitif."
"Mesure de sécurité : flux réseau ?","Chiffrement via HTTPS."
"Obligation paiement en ligne ?","Obligatoire dès 5 000 € de recettes annuelles."
"Téléservice ?","Guichet d'accueil numérique pour démarches administratives par voie électronique."
"Référentiel pour téléservices ?","Le Référentiel Général de Sécurité (RGS)."
"Rôle de l'ANSSI pour les téléservices ?","Qualifie les produits de sécurité et les prestataires de confiance (PSCO)."
"Décision d'homologation ?","Attestation formelle rendue publique par l'autorité compétente pour certifier le SI."
"Règlement européen téléservices ?","eIDAS (identification électronique et services de confiance)."
"Hébergement données de santé ?","Soumis à une réglementation spécifique et une certification préalable."
"Sanction CNIL max (collectivité) ?","20 millions d'euros ou 4 % du chiffre d'affaires."
"Responsabilité administrative pour faute ?","Engagée si un manquement aux obligations cause un préjudice à un administré."
"Responsabilité pour dommage de travaux publics ?","Appliquée en cas de dysfonctionnement d'un ouvrage public (ex: signalisation) suite à une attaque."
"Responsabilité civile de l'élu ?","Engagée sur son patrimoine personnel en cas de faute « détachable du service »."
"Action récursoire ?","Action de la collectivité contre l'élu pour récupérer les fonds après une faute personnelle."
"Sanction pénale (RGPD) ?","5 ans d'emprisonnement et 300 000 € d'amende (Art. 226-16 Code pénal)."
"Responsabilité pénale (imprudence) ?","Poursuites en cas de faute de négligence causant une atteinte à l'intégrité physique (Art. 121-3 Code pénal)."
"Trois types de responsabilités ?","Administrative, civile et pénale."
