Quel est l'objectif principal de la Suite Numérique développée par le gouvernement français ?,Renforcer l'autonomie numérique face aux GAFAM en proposant un ensemble de logiciels bureautiques open source et souverains.
La Suite Numérique est principalement destinée à quelle catégorie d'utilisateurs ?,Aux agents de la fonction publique (agents publics).
Comment les utilisateurs accèdent-ils aux outils de La Suite Numérique ?,Via le système d'authentification unique ProConnect.
Quelle est l'alternative à Gmail proposée dans La Suite Numérique ?,"Un client de messagerie électronique nommé ""Messagerie""."
Quel outil de La Suite Numérique est conçu comme une alternative à Microsoft Teams et chiffre les messages de bout en bout ?,La messagerie instantanée Tchap.
"Pour remplacer des services comme WeTransfer, quel outil La Suite Numérique propose-t-elle pour l'envoi de fichiers volumineux ?",France Transfert.
"Quel tableur collaboratif, alternative à Excel, est inclus dans La Suite Numérique ?",Grist.
"L'éditeur de texte collaboratif de La Suite Numérique, qui peut se substituer à Google Docs, s'appelle _____.",Docs.
Quel outil de visioconférence de La Suite Numérique est un concurrent de Google Meet ?,Visio.
Les applications de La Suite Numérique sont hébergées sur des infrastructures certifiées par l'ANSSI. Quel est le nom de cette certification ?,SecNumCloud.
Quels pays ont collaboré au développement de La Suite Numérique ?,"La France, l'Allemagne et les Pays-Bas."
L'outil Docs de La Suite Numérique intègre des fonctionnalités d'IA pour quelles tâches ?,"La reformulation, la traduction et le résumé de textes."
Quelle technologie l'outil Visio utilise-t-il pour fournir un service de transcription ?,L'intelligence artificielle (IA).
Quels organismes gouvernementaux ont collaboré pour créer le logiciel Docs ?,La Direction interministérielle du numérique (DINUM) française et le centre allemand pour la souveraineté numérique (ZenDiS).
"Docs utilise uniquement des technologies _____, avec un code source publié sur GitHub.",open source
Quels sont les trois principaux frameworks technologiques utilisés par le logiciel Docs ?,"Django Rest (backend), Next.js (frontend) et BlockNotes.js (édition)."
"En mars 2025, Docs permettait d'exporter des documents dans quels trois formats ?","PDF, Microsoft Word et OpenDocument."
Quel événement géopolitique a été un catalyseur pour la collaboration franco-allemande sur le projet Docs ?,Les changements de politique sous la seconde administration Trump.
"Combien d'agents publics utilisent mensuellement LaSuite, selon les chiffres de début 2026 ?",Plus de 500 000 agents.
Quel outil de LaSuite est une messagerie instantanée sécurisée basée sur le protocole Matrix ?,Tchap.
"En plus de Docs et Grist, quel nouvel outil de gestion de fichiers est mentionné sur le site de LaSuite ?","Fichiers, pour centraliser et partager des documents."
