Quel est l'objectif principal de la fiche opérationnelle 3 sur l'IA en GRH publique ?,"Anticiper les dispositifs pour informer, sensibiliser, former et accompagner les agents afin de prévenir les risques liés à une utilisation mal maîtrisée de l'IA."
Quelles sont les trois problématiques identifiées pour accompagner les agents publics à l'IA ?,1. Acculturer et former les agents; 2. Créer un référentiel de règles d'éthique; 3. Accompagner les agents dans l'utilisation.
À quelles actions de sensibilisation le responsable GRH doit-il inscrire les agents concernés par l'IA ?,"Celles recensées par le Campus du numérique de la DINUM, le schéma directeur de la formation, ou disponibles sur l'application MENTOR."
Que doit faire le service de formation s'il n'existe pas de module correspondant aux compétences IA à acquérir ?,Il doit engager le processus de création d'un nouveau module de formation interne.
Quel rôle les nouveaux profils formés à l'IA peuvent-ils jouer au sein de la structure ?,Ils peuvent être mobilisés sur des fonctions d'accompagnement des autres agents et d'encadrement de l'utilisation des outils d'IA.
Citez deux exemples de livrables liés à l'acculturation et à la formation des agents à l'IA.,Un plan de formation de la structure et des parcours de formation pour les agents concernés.
"Pour créer un référentiel d'éthique, sur quels cadres existants doit-on s'inspirer ?","Le cadre du contrôle déontologique des agents publics, le RGPD et la charte d'utilisation des outils numériques."
Quelle structure peut être créée pour assurer le respect des règles d'éthique de l'IA en GRH ?,"Un réseau de correspondants ou une ""commission / un conseil d'éthique""."
Quel processus doit être prévu pour gérer les dérives dans l'utilisation de l'IA en GRH ?,Un processus de signalement des mauvais usages de l'IA.
"Quels documents composent le ""kit d'utilisation de l'IA"" à mettre à disposition des agents ?","Le guide d'utilisation, la charte d'utilisation et le référentiel des règles d'éthique."
Quel type d'activité pratique est suggéré pour aider les agents à s'approprier collectivement un outil d'IA ?,"Organiser des ateliers où les agents peuvent ""prompter"" ensemble pour comprendre le fonctionnement de l'outil."
Comment le suivi des agents utilisant l'IA peut-il être organisé ?,"Via un suivi régulier et des outils d'évaluation, potentiellement intégrés aux entretiens individuels annuels."
"Pourquoi est-il crucial d'""embarquer"" les agents dès le début du processus d'intégration de l'IA ?","Pour renforcer leur sentiment d'appartenance et leur engagement, et éviter toute déresponsabilisation."
Le risque que les agents utilisent des outils d'IA non approuvés pour leurs tâches est connu sous le nom de _____.,Shadow IA (IA de l’ombre)
"Quels sont les risques associés au ""Shadow IA"" ?",Des risques de cyberattaques et de divulgation de données confidentielles par des utilisateurs non formés.
"Au-delà de l'outil lui-même, sur quoi la formation à l'IA doit-elle également porter ?","Sur la préparation à la transformation, en développant des compétences douces (soft skills) socio-émotionnelles, cognitives et conatives."
Citez un exemple de compétence cognitive utile face à la transformation par l'IA.,Apprendre à se positionner face à l’inconnu.
Quelle organisation de pilotage est préconisée pour les actions de formation et d'accompagnement à l'IA ?,"Un triple pilotage par le service RH, le service de formation professionnelle et le service en charge du numérique."
Quel est le risque lié à l'utilisation fréquente de l'IA qui peut diminuer le jugement d'un agent ?,"Le risque de ne pas entretenir son regard critique et de ""s'endormir au volant""."
Comment peut-on encourager un agent à rester proactif et critique lors de l'utilisation d'un outil d'IA ?,"En l'amenant à solliciter plusieurs réponses de l'IA, ce qui nécessite un choix et une analyse de sa part."
Quel est le rôle du dialogue social dans l'introduction de l'IA en GRH ?,Associer les représentants du personnel pour établir un diagnostic partagé et un niveau d'information équivalent.
Qui pourrait-on envisager d'intégrer à une commission d'éthique sur l'IA pour éviter les biais internes ?,"Une personnalité externe, susceptible d'apporter une caution supplémentaire."
Quel document le secrétariat général du Ministère de l’Éducation nationale est-il en train de finaliser concernant l'IA générative ?,Une charte d’usage.
"Au sein du Ministère de la Transition écologique, quel laboratoire assure le rôle d'administrateur ministériel des données, algorithmes et codes sources ?",L'Ecolab.
Quelle structure le Ministère des Armées a-t-il créée en 2020 pour centraliser les ressources de formation sur le numérique et l'IA ?,L'académie du numérique (ADN).
Citez une ressource de formation mise à disposition par l'ADN du Ministère des Armées.,"Un catalogue unique, des contenus contextualisés, des parcours ministériels de formation, ou l'atelier « Bataille de l’IA »."
Avec quels acteurs le Ministère des Armées entretient-il des relations de collaboration pour diffuser ses ressources de formation ?,"Avec la DINUM et le campus du numérique, notamment via la plateforme MENTOR."
Quel type d'accord le Ministère des Armées a-t-il engagé avec les représentants du personnel concernant l'IA ?,Un accord relatif au cadre de confiance dans le déploiement de l’IA.
Quel était l'objet de l'étude lancée par le secrétariat général des Ministères économiques et financiers (MEF) ?,L'impact de l'IA sur les métiers et les compétences des agents exerçant des fonctions d’enquête et de contrôle.
Quel institut au sein des MEF dispose d'un catalogue de formation à l'IA ?,L’Institut de la gestion publique et du développement économique (IGPDE).
"Au sein des MEF, à qui s'adresse le ""cycle supérieur du numérique"" qui inclut un séminaire sur le Big Data et l'IA ?",Aux cadres supérieurs.
