Quel est l'objectif principal du Règlement (UE) 2022/2065 (DSA) ?;Créer une cryptomonnaie européenne unique;Harmoniser les règles pour un environnement en ligne sûr et fiable;Remplacer intégralement le RGPD;Interdire l'utilisation des réseaux sociaux aux moins de 18 ans;3;L'objectif est de contribuer au bon fonctionnement du marché intérieur en établissant des règles harmonisées pour un environnement en ligne sûr, prévisible et fiable (Article 1).
Selon l'article 2, à quels services le règlement s'applique-t-il ?;Uniquement aux services basés aux États-Unis;Aux services intermédiaires offerts à des destinataires situés dans l'Union;Uniquement aux fournisseurs d'accès à internet;Aux services gouvernementaux uniquement;3;Le règlement s'applique aux services intermédiaires proposés aux destinataires du service situés dans l'Union, quel que soit le lieu d'établissement des fournisseurs (Article 2).
Lequel de ces services n'est PAS classé comme un service intermédiaire dans le DSA ?;Le simple transport (mere conduit);La mise en cache (caching);La production de contenu éditorial par le fournisseur;L'hébergement (hosting);4;Les services intermédiaires sont le simple transport, la mise en cache et l'hébergement. La production de contenu ne relève pas de cette définition (Article 3).
Quel seuil d'utilisateurs définit une Très Grande Plateforme en Ligne (VLOP) ?;10 % de la population mondiale;45 millions de destinataires actifs mensuels dans l'Union;100 millions d'utilisateurs inscrits;Un chiffre d'affaires supérieur à 1 milliard d'euros;3;Une VLOP est désignée si elle atteint un nombre mensuel moyen de destinataires actifs dans l'Union égal ou supérieur à 45 millions (Article 33).
Sous quelle condition un hébergeur bénéficie-t-il d'une exemption de responsabilité pour les contenus stockés ?;S'il surveille proactivement tout le contenu;S'il paie une taxe numérique européenne;S'il est une entreprise publique;S'il n'a pas connaissance de l'illégalité ou agit promptement pour retirer le contenu;5;L'hébergeur n'est pas responsable s'il n'a pas connaissance de l'activité illégale ou, dès qu'il en a connaissance, s'il agit promptement pour retirer le contenu (Article 6).
Le DSA impose-t-il une obligation générale de surveillance aux fournisseurs ?;Oui pour tous les contenus hébergés;Non, il interdit l'obligation générale de surveillance;Oui, mais uniquement pour les droits d'auteur;Oui, pour les plateformes de plus de 1 million d'utilisateurs;3;L'article 8 stipule que les fournisseurs ne sont soumis à aucune obligation générale de surveiller les informations qu'ils transmettent ou stockent.
Que doivent désigner les fournisseurs de services intermédiaires pour faciliter la communication avec les autorités ?;Un avocat international;Un numéro vert gratuit;Un chatbot intelligent;Un point de contact unique;5;Les fournisseurs doivent désigner un point de contact unique pour communiquer avec les autorités des États membres et la Commission (Article 11).
Comment doivent être rédigées les conditions générales des fournisseurs selon l'article 14 ?;En latin et en anglais;Dans un langage clair, simple, intelligible et sans ambiguïté;Uniquement dans la langue du siège social;De manière technique pour protéger juridiquement la plateforme;3;Les conditions générales doivent être claires, simples, intelligibles et comprendre des informations sur la modération (Article 14).
Qui doit mettre en place des mécanismes de notification et d'action (notice and action) ?;Tous les services intermédiaires;Les fournisseurs de services d'hébergement;Uniquement les moteurs de recherche;Uniquement les très grandes plateformes;3;L'article 16 impose cette obligation spécifiquement aux fournisseurs de services d'hébergement.
Qui attribue le statut de signaleur de confiance (trusted flagger) ?;La Commission européenne;Le fournisseur de la plateforme;Le coordinateur pour les services numériques de l'État membre;Europol;4;Le statut est attribué par le coordinateur pour les services numériques de l'État membre où l'entité est établie (Article 22).
